Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
5447327,782330,DOOM Eternal,65560816,schinese,射爆就完事了,1584891747,1584891747,True,0,0,0.4984423816204071,0,False,False,False,76561198256573232,44,2,4280.0,0.0,467.0,1606923646.0
18252232,322330,Don't Starve Together,14914273,english,Bestest game! 10/10! You really need to work harder cuz you will need N times the resources compared to singleplayer :3,1426477740,1426477740,True,1,1,0.525547444820404,0,False,False,True,76561198072543767,216,8,9154.0,0.0,2080.0,1609132234.0
11208597,72850,The Elder Scrolls V: Skyrim,52274610,english,perfection,1561861159,1561861159,True,0,0,0.0,0,True,False,False,76561198141373839,504,5,5013.0,0.0,4654.0,1592932013.0
14649112,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,42963529,koreana,좋긴개뿔 접속 장애나 똑바로 해결하세요,1529751993,1529755786,False,0,0,0.0,0,True,False,False,76561198821013154,3,1,25845.0,0.0,14962.0,1589264072.0
3080914,1225330,NBA 2K21,82434296,schinese,为什么老是自己闪退！！！为什么没有声音！！！,1608045104,1608045104,False,0,0,0.0,0,True,False,False,76561198139233117,8,1,3108.0,1550.0,1028.0,1610730566.0
2776797,728880,Overcooked! 2,46868241,schinese,玩的喉咙痛（微笑,1543119018,1543119018,True,1,2,0.523809552192688,0,True,False,False,76561198253865316,183,13,626.0,0.0,234.0,1582038242.0
1754661,381210,Dead by Daylight,81226226,german,"A nice game for when u think to urself: hm slaughtering a bunch of toxic Teenagers now would be fun.
Youll get what u came for.

A nice addition is that this game is a load of fun to play with friends.",1606746361,1606746361,True,0,0,0.0,0,False,False,False,76561198181837661,108,3,15115.0,2893.0,5347.0,1610664092.0
7291310,252490,Rust,84640993,english,Already have a job,1610580357,1610580357,False,4,0,0.4896907210350036,0,False,False,False,76561198028538580,81,3,126.0,0.0,126.0,1578547443.0
8291415,739630,Phasmophobia,84526411,brazilian,tomei susto foi com a tela azul.,1610416957,1610416957,True,0,0,0.0,0,True,False,True,76561198880342107,17,10,501.0,0.0,501.0,1606621166.0
8159539,812140,Assassin's Creed Odyssey,45697424,schinese,"  史上最不“刺客信条”的刺客信条，就如预告片所说的一样，这就是你的“奥德赛”。在风景优美，民风淳朴的古希腊爽玩吧！
主线完结评价：
  剧情密度比起源高到不知道哪里去了，所有的金色叹号都有自己的独特剧情，有些还有那么一点crpg的感觉，但是有的选择肢虽然对分支剧情有所影响，但是更多的还是一本道剧情，当然更不用说对主线剧情的影响了。主线剧情呢，只能说有点尴尬，但是最后大团圆还是看着很舒服的。当然，现代剧情虽然我觉得可有可无但是最后还是有惊喜的。希望阿育的下一作在继承本作成功的同时，开创出属于AC这个系列自己的RPG风格。
  音乐还是十分悦耳动听让人满意的，汉子和妹子唱船歌有不同的风味，值得都试一试。
  游戏性方面白金时间很爽，招架很爽，狂袭很爽，英雄一击更爽，我只能说这是清问号最好玩的一作AC了。
[spoiler]弓兵多挂壁，点了以后基本上就是无双了[/spoiler]

评分：

剧情:  7/10
音乐：8/10
游戏性：9/10

总体： 8/10

赶紧pay起来，不要犹豫了！",1541658706,1541658706,True,0,1,0.0,0,True,False,False,76561198105357489,464,13,6919.0,0.0,4380.0,1552753593.0
10312851,1113000,Persona 4 Golden,70738374,english,"Eu nem lembro como eu comprei isso, meu corpo se moveu por conta própria.
",1592077659,1592077659,True,1,0,0.523809552192688,0,True,False,False,76561198027608498,412,5,662.0,0.0,25.0,1593894632.0
4891848,590380,Into the Breach,78377296,english,It's not as good as FTL but its fun in its own right.,1604031134,1604031134,True,1,0,0.5045871734619141,0,True,False,False,76561198158508160,330,67,1757.0,0.0,1591.0,1604201105.0
14834887,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,39864840,schinese,"

3.33
",1517833419,1517833419,False,0,0,0.0,0,True,False,False,76561198406787484,3,1,31609.0,0.0,26060.0,1579328940.0
17784673,356190,Middle-earth™: Shadow of War™,44188562,spanish,"Muy buen juego,sin duda uno de los mejores en tercera persona",1534428699,1542952603,True,0,0,0.0,0,True,False,False,76561198009101053,50,12,12375.0,0.0,10780.0,1573296111.0
4161996,227300,Euro Truck Simulator 2,73288415,spanish,"Tres Años Jugando..... Lo compre con 4 años desde su lanzamiento y hasta ahora estoy satisfecho, esto queda para la historia y creo que no lo dejare de jugar y menos del modo ""Online""",1595729660,1595729660,True,0,0,0.0,0,False,False,False,76561198423243410,6,2,30270.0,839.0,22937.0,1609898354.0
9863593,252950,Rocket League,70525855,english,Great with a friend.,1591691506,1591691506,True,1,0,0.523809552192688,0,False,False,False,76561198211361037,15,14,9236.0,1211.0,4251.0,1610991110.0
10947014,204360,Castle Crashers,43431900,schinese,"风格很贱萌就是了……
喜欢横版过关又想放松一下自己的选这个没错
有人说这玩意一个人没法玩，但我至今还没发现任何必须要合作才能通过的地方？
总之不管是自嗨还是开黑都可以享受就是了(๑╹◡╹)ﾉ

另外主菜单音乐怎么那么好听啊……",1531171894,1531171894,True,0,0,0.4885057508945465,0,True,False,False,76561198266969748,69,16,520.0,0.0,520.0,1531348104.0
18937998,105600,Terraria,20558337,russian,В эту игру можно наиграть 45 часов за 2 суток -_-,1452942015,1452942015,True,1,0,0.0,0,True,False,False,76561198069380313,79,7,8007.0,0.0,2923.0,1594408678.0
18624360,105600,Terraria,64578702,spanish,"Es muy divertido, propone cierta dificultad y buenas recompensas por derrotar a los jefes",1583467938,1583467938,True,0,0,0.0,0,True,False,False,76561198981444202,2,1,6636.0,0.0,3340.0,1608679702.0
18182755,322330,Don't Starve Together,39835141,schinese,"虽然作为一个妹子我总是找不到小伙伴一起畅游饥荒大陆，但你看看我的游戏时间就知道这游戏有多值得入手了。
这个价格你绝对买不到吃亏~

PS：新手一开始很容易死体验不好，建议先看看简单的视频攻略。另外，联机版有一个“回档”功能，这就意味着，你永远都不会死了……当然你也可以挑战自己，不用！",1517725603,1517725603,True,0,1,0.0,0,True,False,False,76561198318865471,14,2,10080.0,0.0,7778.0,1526551209.0
16384578,346110,ARK: Survival Evolved,73298849,schinese,junk game,1595749867,1595749867,True,0,0,0.0,0,True,False,False,76561198829304965,9,1,549.0,0.0,549.0,1595749009.0
16298502,648350,Jurassic World Evolution,83116631,schinese,好,1608906190,1608906190,True,0,0,0.0,0,True,False,False,76561198863425193,32,5,1693.0,0.0,670.0,1609925421.0
17973398,394360,Hearts of Iron IV,27300454,english,Awesome WW2 grand-strategy game :D,1480017655,1480017655,True,0,0,0.0,0,True,False,False,76561198043881331,144,3,10809.0,0.0,4068.0,1604782923.0
2993064,242760,The Forest,16670223,schinese,可玩性极高，目前还是测试版本，但是已经有很高的自由度和乐趣了，相信正式版出来后会更加好玩，和基友一起联机就玩这个游戏,1435134245,1435134245,True,2,0,0.5454545617103577,0,True,False,True,76561197974193825,136,6,5257.0,0.0,637.0,1602472035.0
