,SYN.Flag.Count,Total.Fwd.Packets,Total.Backward.Packets,Flow.Duration,Flow.Packets.s,Flow.Bytes.s,Fwd.Packet.Length.Mean,Bwd.Packet.Length.Mean,Bwd.IAT.Mean,ACK.Flag.Count,Active.Mean,Label,Inbound
1,0,2,2,25040,159.7444089,8945.686901,42,70,2,0,0,BENIGN,0
2,0,2,2,47213,84.72242814,4320.843835,43,59,3,0,0,BENIGN,0
3,0,1,2,110,27272.72727,109090.9091,0,6,3,0,0,BENIGN,1
4,0,40,46,118548880,0.725439161,142.5741011,100.55,280,2633509.778,1,639676.5,BENIGN,0
5,0,1,2,147,20408.16327,122448.9796,6,6,3,0,0,BENIGN,1
6,0,2,8,7345102,1.361451482,0,0,0,1041447.143,1,0,BENIGN,0
7,0,7,2,707372,12.72314991,1713.384188,173.1428571,0,3,1,0,BENIGN,0
8,0,2,2,21190,188.7682869,29825.38933,34,282,3,0,0,BENIGN,0
10,0,1,3,98,40816.32653,755102.0408,0,24.66666667,1.5,0,0,BENIGN,1
11,0,2,0,1,2.00E+06,8.19E+08,409.5,0,0,0,0,BENIGN,1
12,0,2,0,3,666666.6667,4.00E+06,6,0,0,0,0,BENIGN,1
13,0,1,2,173,17341.04046,104046.2428,6,6,2,0,0,BENIGN,1
14,0,2,2,21258,188.1644557,10254.96284,36,73,3,0,0,BENIGN,0
15,0,2,2,139924,28.5869472,1786.6842,34,91,2,0,0,BENIGN,0
16,0,2,2,72625,55.07745267,1927.710843,27,43,3,0,0,BENIGN,0
17,0,2,0,1,2.00E+06,0,0,0,0,0,0,BENIGN,1
18,0,59,74,25960414,5.123184861,4433.904636,211.220339,1387.081081,354463.2466,1,2683117.5,BENIGN,0
19,0,1,2,206,14563.1068,87378.64078,6,6,2,0,0,BENIGN,1
20,0,66,84,117884774,1.272428957,774.5190231,48.24242424,1049.047619,1420115.277,1,137986,BENIGN,0
21,0,2,0,3,666666.6667,4.00E+06,6,0,0,0,0,BENIGN,0
22,0,42,39,115891062,0.698932244,138.6733344,68.69047619,338.1025641,2964500.5,1,48978.63636,BENIGN,0
23,0,2,2,25865,154.6491398,11598.68548,47,103,3,0,0,BENIGN,0
24,0,2,2,33586,119.0972429,357.2917287,0,6,2,1,0,BENIGN,0
25,0,2,2,44704,89.47745168,4921.259843,31,79,2,0,0,BENIGN,0
26,0,2,2,46134,86.70394936,5028.829063,50,66,4,0,0,BENIGN,0
27,0,3,0,151,19867.54967,119205.298,6,0,0,0,0,BENIGN,0
28,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
30,0,2,2,20970,190.7486886,8965.188364,33,61,4,0,0,BENIGN,0
31,0,2,2,21023,190.2678019,11225.80031,45,73,3,0,0,BENIGN,0
32,0,2,0,1,2.00E+06,1.20E+07,6,0,0,0,0,BENIGN,1
33,0,2,2,35810,111.7006423,6422.786931,30,85,3,0,0,BENIGN,0
34,0,2,2,20907,191.3234802,9757.497489,43,59,3,0,0,BENIGN,0
35,0,3,2,33198,150.6114826,0,0,0,3,0,0,BENIGN,1
36,0,2,2,21087,189.6903305,9484.516527,42,58,3,0,0,BENIGN,0
37,0,3,0,2,1500000,9.00E+06,6,0,0,0,0,BENIGN,1
38,0,2,2,20850,191.8465228,14388.48921,47,103,1,0,0,BENIGN,0
39,0,130,178,118891987,2.590586698,1387.326465,38.78461538,898.3146067,671555.0734,1,735011,BENIGN,0
40,0,2,2,46137,86.69831155,12267.81108,41,242,2,0,0,BENIGN,0
41,0,33,30,115511832,0.545398674,36.41185433,31.57575758,105.4666667,3806710,1,52044.36364,BENIGN,0
42,0,6,7,68050,191.0360029,67215.28288,143.3333333,530.5714286,5754,1,0,BENIGN,0
43,0,2,2,22807,175.3847503,9821.546017,42,70,3,0,0,BENIGN,0
44,0,2,2,21023,190.2678019,11225.80031,45,73,3,0,0,BENIGN,0
45,0,2,8,7205444,1.387839528,0,0,0,1021495,1,0,BENIGN,0
46,0,26,22,117679896,0.407886152,64.71793619,70.53846154,262.8181818,5602535.762,1,121964,BENIGN,0
47,0,7,2,108070,83.27935597,13158.13824,203.1428571,0,2,1,0,BENIGN,0
48,0,2,0,1,2.00E+06,3.10E+07,15.5,0,0,0,0,BENIGN,0
49,0,2,2,21837,183.1753446,10257.8193,29,83,3,0,0,BENIGN,0
50,0,7,6,19706218,0.659690256,3.146215068,0,10.33333333,3928840.8,0,61925,BENIGN,0
51,0,32,28,116988726,0.512869932,73.39168733,59.5625,238.5714286,4331921.296,1,336657,BENIGN,0
52,0,5,2,5334071,1.31231849,3.37453326,3.6,0,3,1,0,BENIGN,0
53,0,2,2,20875,191.6167665,15329.34132,32,128,3,0,0,BENIGN,0
