Unnamed: 0,SYN.Flag.Count,Total.Fwd.Packets,Total.Backward.Packets,Flow.Duration,Flow.Packets.s,Flow.Bytes.s,Fwd.Packet.Length.Mean,Bwd.Packet.Length.Mean,Bwd.IAT.Mean,ACK.Flag.Count,Active.Mean,Label,Inbound
7517,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
5875,0,8,4,33046349,0.363126347,2.178758083,6.0,6.0,1361892.0,1,2042895.5,Syn,1
3504,0,2,0,1,2000000.0,37000000.0,18.5,0.0,0.0,0,0.0,BENIGN,0
2201,0,114,188,79510199,3.798254863,2281.468318,92.71929825,908.6702128,425036.9733,0,3085477.0,BENIGN,0
8373,0,2,2,115,34782.6087,208695.6522,6.0,6.0,2.0,1,0.0,Syn,1
8520,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
2366,0,2,2,20956,190.8761214,12216.07177,38.0,90.0,1.0,0,0.0,BENIGN,0
579,1,1,1,2,1000000.0,6000000.0,6.0,6.0,0.0,0,0.0,BENIGN,1
3093,0,1,2,75,40000.0,0.0,0.0,0.0,72.0,0,0.0,BENIGN,1
9034,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
997,0,2,0,3,666666.6667,0.0,0.0,0.0,0.0,0,0.0,BENIGN,1
6727,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
1426,1,2,0,2,1000000.0,6000000.0,6.0,0.0,0.0,0,0.0,BENIGN,0
540,0,2,0,3,666666.6667,4000000.0,6.0,0.0,0.0,0,0.0,BENIGN,0
7040,0,2,2,82,48780.4878,292682.9268,6.0,6.0,1.0,1,0.0,Syn,1
6675,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
1454,0,1,3,247,16194.33198,251012.1457,0.0,20.66666667,2.0,0,0.0,BENIGN,1
3611,0,1,2,98,30612.2449,183673.4694,6.0,6.0,3.0,0,0.0,BENIGN,1
2613,0,4,2,25609,234.2926315,468.585263,3.0,0.0,2.0,1,0.0,BENIGN,0
9538,0,2,2,128,31250.0,187500.0,6.0,6.0,1.0,1,0.0,Syn,1
1890,0,2,2,20817,192.1506461,6340.971322,25.0,41.0,2.0,0,0.0,BENIGN,0
1474,0,2,0,3,666666.6667,4000000.0,6.0,0.0,0.0,0,0.0,BENIGN,1
4912,0,2,2,20827,192.0583857,10179.09444,45.0,61.0,2.0,0,0.0,BENIGN,0
9909,0,2,0,1,2000000.0,12000000.0,6.0,0.0,0.0,1,0.0,Syn,1
